address,lock return,ref_bonnus,intro_bonnus,total return
0x0def9b4811e4c4e9da5acf82d421c97b5e9c152f,216982973545339075380,0,0,216982973545339075380
0xd8068f813c45c88cebb02cbc0f91f95626ec9a34,198570292355262029857,46748364219117768271,0,245318656574379798128
0x00eea078f8fbfc5d62458584e95306e60c4a638e,3925098505190076770095,0,39250985051900767700,3964349490241977537795
0x116fd435e3b2e57598353089ba95e6a0febdb2f3,68645121610430949354,0,0,68645121610430949354
0xd307ff28710b7a4587200c5ba4c67648c1f24045,17640918619495885641396,28931063139378543384,176409186194958856413,17846258868830223041193
0x8e7fcc7a17f00f0f5f85f2d5964a581d0813c8a6,441022303953941210123,297998770781678075679,0,739021074735619285802
0xe552821ee85284249c71d4abfc4437992ed2fb93,2894870403153670103247,603338357812669502802,28948704031536701032,3527157464997876307081
0x02c2b66dc9678ba1441d384300299783aae5c2c1,110255575988485302530,0,1102555759884853025,111358131748370155555
0x12909009d651d40d6ae00b150db3107bc5654603,198460036779273544555,0,0,198460036779273544555
0xe0e0b97949687e5cdc9ca843c0428bd0437e176d,142891226481076952079,0,1428912264810769520,144320138745887721599
0xd419d53817e1daa7b2f72e51707774f3ff0a54a3,1190760220675641267332,0,0,1190760220675641267332
0xdc1f0c07202629be59e1f5396e7d78803423650e,78590174564592323643,0,0,78590174564592323643
0xdbfce5f51e67be01ce77b54766f3770992878263,132306691186182363036,0,0,132306691186182363036
0x9999999ccd21cf1517e907b535dc8507f79bce09,220528792869128762709,0,2205111519769706050,222733904388898468759
0xc55022673882d57ad13358567e62025467f5a57f,105073563917026493311,0,1050735639170264933,106124299556196758244
0x531c2607862de00604f600cff6be9cb312467570,32966417220557105456,3492896647315214383,329664172205571054,36788978040077890893
0xaf1b057a6011583171fb1ea6e627babd6ba0cab4,73760980336296667393,0,737609803362966673,74498590139659634066
0xc8145caf71b4af6c6cc682fc7e1a41c8769c6e86,39180421483268137105,0,0,39180421483268137105
0xb86617a3e305e53eb860d3b9fe9999fe72e04767,27122871693167384422,0,0,27122871693167384422
0x95600d3c264e5b6b5bf0a7b346450e73f5cd972e,948197953500973601763,0,9481979535009736017,957679933035983337780
0x1d32750e8a03443f008236f7c344fc84821cf690,598136499737532766229,0,0,598136499737532766229
0x286755cf1b65af2d10613b58f4c2e7792a7cccbe,110255575988485302530,0,0,110255575988485302530
0x7f0d238412e75e45cb69b3cacd4b59f220da2442,551277879942426512653,0,0,551277879942426512653
0x10534d4e612071e6b6480c498dd8bdb8f51b9ed7,55127787994242651265,0,0,55127787994242651265
0xc8e99360d5b672d66610b0db0807611fe954ccf9,2877670533299466396053,0,0,2877670533299466396053
0x00fdbb477d1cd363c333eac93fe7eb0397acd470,176408921581576484049,0,1764089215815764840,178173010797392248889
0x7ba00c82c5b19b2ec77836b23a2289fb32558e88,105845352948945890,0,0,105845352948945890
0xd5aa581ee5d9033b2e36811869781043b1d571a6,33341286178917955485,0,0,33341286178917955485
0xbdde562d6c0a3440806e13fd69d6e28c0cb452ca,2271529478745169596859,0,0,2271529478745169596859
0x6c7e7fbfa69f4b5a5ade1c27bc74fa4290a3b8a3,33650001791685714331,0,0,33650001791685714331
0x1fef0f8a5ac51790de232f0ae3e1bfa47eadbacd,52922676474472945,0,0,52922676474472945
0xaec05c2a88f2b7896005086adbaba3cfd81b63be,1102555759884853025307,0,11025557598848530253,1113581317483701555560
0x6b924183307ef2e529db662f80200611328a0cbd,55127787994242651265,0,0,55127787994242651265
0x880c4f74c3d4c39d75f8e2ad958f40671416bf66,2205111519769706050615,0,22051115197697060506,2227162634967403111121
0x155ef6e396f63501804c192f80d223fd618b9795,176408921581576484,0,0,176408921581576484
0xd8de1f6764e442b8763d313722e9eaee3779707e,793840147117094178221,576283632885909081364,7938401471170941782,1378062181474174201367
0x9a72b97137065b3816d091310e483811baa1be0f,683584571128608875689,0,6835845711286088756,690420416839894964445
0x29c176bc50433d65113a2e6776b595a3de04f92f,286664497570061786580,0,0,286664497570061786580
0xd997ca66e558aa3d8d2ec39f3c5196fe5f31fede,1524173082464820822184,0,0,1524173082464820822184
0x61d0a005725b5a742d232655a7e22efb7cad3414,5292267647447294521,0,52922676474472945,5345190323921767466
0xd3320c2b9ec1d41b8fdc8884ea59b660302985ca,275528684395224771024,0,2755286843952247710,278283971239177018734
0x50873df6f51369746638a4df373aef4b9e053fee,198460036779273544555,0,1984600367792735445,200444637147066280000
0x81042f7f99a86d3981308e72feb36bd791c31920,2205111519769706050,257386242268029326691,22051115197697060,259613404902996729801
0xe81ff5a7f528c660cb41facedd53485e20ea2758,5578932145017356308056,0,0,5578932145017356308056
0x7136adc702e26c13158284c4b0fcff66fa52c99b,14994758334434001144,0,0,14994758334434001144
0x164767126f2570a427e3c2f34da27003f8394a40,17640892158157648404,0,0,17640892158157648404
0xa8f89819ab9c31dc5b2b33caaf8de1dca0a7fea9,11025557598848530253,0,0,11025557598848530253
0x274d5d04597a6c86a5a8cb9dd25c3035af6f2d12,198460036779273544555,0,0,198460036779273544555
0xe32c5673b152571e57976bf3a75068917da2da9c,66153345593091181517,0,0,66153345593091181517
0x72df03913ed789b45bfb04a9d6b399b8ce2a133e,3775150921845736,0,0,3775150921845736
0x1cade4c72ccd35870c6d917bfacc2bc7cc0734c5,17640892158157648404,0,176408921581576484,17817301079739224888
0x80844fb6785c1eab7671584e73b0a2363599cb2f,110255575988485302,0,0,110255575988485302
0x0fbb89875a0cb732437b63740f4d4f265ac727f1,176408921581576484049,0,0,176408921581576484049
0x08fde66bf84c45fe0ca982425882abe7168c1c2c,110255575988485302530,0,0,110255575988485302530
0x61e15f0bf503f38bc3de9ca4e7c1d2245a94dd6f,129219535058504774565,0,0,129219535058504774565
0xd617cc373ecf63c592b44ca76290290bb7321c9f,60861077945643886995,0,0,60861077945643886995
0x39d76f41cc6c17e21017dad9abc6609cacd5af67,16935256471831342468,0,0,16935256471831342468
0xcb2e279b6846f8263b1559504d1773acf835e0bb,352817843163152968098,0,0,352817843163152968098
0xffb3468b6861ba7044fcf61a2d976028204efc49,26543699152499871127,0,0,26543699152499871127
0x900a30257db838d82130980497bd403adaf5e441,17640892158157648404,0,0,17640892158157648404
0x7b22cee637f699f5792348d0085832d4312b2bd7,16260492346781812417,0,162604923467818124,16423097270249630541
0xdb422897f0f0d3f33845545f691eac4501799a4d,603098000657014604843,0,6030980006570146048,609128980663584750891
0x2411605a576fe058483382c1db691318056ebaad,1362758919217678339280,0,0,1362758919217678339280
0xe98407caac216cebe793e577930b8b4ca7a6ad61,5292267647447294521,0,52922676474472945,5345190323921767466
0xb4b10f0b0ac5a8e2b613d3dbe9505a07e3781128,55127787994242651265,0,0,55127787994242651265
0x296f0063bdd07be8cba2f5183592574e0d62efca,242551241617068817037,0,0,242551241617068817037
0xaad9a85cc1df4e36ed208420cd81a5b3acf984b6,6236937422516636593,0,0,6236937422516636593
0x16617c3dc6cb3d3adc5471153520cb9c9a4a0498,1190760220675641267,0,3969200735585470,1194729421411226737
0x5a24f5764fc0a5fd7d74856ac25084bec0916f7c,176408921581576484049,0,1764089215815764840,178173010797392248889
0x11a7c436365766b4a1500219529bb94a36c3f6f4,385894515959698558,0,3858945159596985,389753461119295543
0x46808e14ada3d28e0a09ce365b281254c6b8c6fa,264613382372364,0,2646133823723,267259516196087
0x91715128a71c9c734cdc20e5edeeea02e72e428e,66285652284277363881500,0,0,66285652284277363881500
0x0c4ca96d4e63af64fb7896ab41e0aa871a59fabb,6615334559309118150,0,0,6615334559309118150
0x74630370197b4c4795bfeef6645ee14f8cf8997d,224921375016510017162,0,0,224921375016510017162
0x8284048672d74d8165f7e38c5c0e6f8fde18c98c,220511151976970605061,0,2205111519769706050,222716263496740311111
0x72f843eba7bc13185f9454df5b6194d3d81d2a4b,52922676474472945214,0,529226764744729452,53451903239217674666
0x05a0fa3b8f65c62a77e388dabaf2ec7176c3635e,136716914225721775137,0,264613382372364726,136981527608094139863
0x90fdff26419fb9550a6a55c792b14122e72714da,220511151976970605,0,0,220511151976970605
0x13fcb7b29f135d3740ca8c6e3f775df6994a3d8e,2646133823723647260,0,26461338237236472,2672595161960883732
0xf46a707e36e82e8875d95db044d61d946decbfd7,15303473947201759990,0,130983624274320537,15434457571476080527
0x9628be77fb3dcd890fd93a5d039092fca855d3cc,396920073558547089110,0,0,396920073558547089110
0xaadb9ed84fe0812b87ca98341aef5599b47ea60f,867579076338193148553,0,0,867579076338193148553
0x2f0c01465d38fc4a31c95b7e74a4c80be6d87bbe,1143129811848615616639,0,0,1143129811848615616639
0x5023732c23c04bbccce4c75ae9da307a74478dc3,7276868015240029967,0,72768680152400299,7349636695392430266
0x7a4caa3526f80793d6c11d9398efc1686f239e35,7695839203996274116,0,76958392039962741,7772797596036236857
0xe4bb14f0c5e772896ffa5007ea24a5109d910c8e,740917470642621233006,0,7409174706426212330,748326645349047445336
0x327dc3388a5138a76568042a2f60bab46b086cdf,12128113358733383278,0,121281133587333832,12249394492320717110
0x06608f5ad0101bdf2786a6a47fc694c88a625a73,1367169142257217751381,0,13671691422572177513,1380840833679789928894
0x17e35b700e6d014d9cc4cc093d6eff6e66d9f117,213617091321562596064,0,0,213617091321562596064
0xb16ee2a981cce4c4c075b2bd9406d5074da02727,238152044135128253466,0,0,238152044135128253466
0xbd8152fc7f060c6555809f6eada3ce64cba4d723,17146947177729234249,0,0,17146947177729234249
0xaf95c1022817a47d23ac90da77be788d66ccfa69,99009507237659801672,0,0,99009507237659801672
0x24f94fcd6bfe7a8ca2f9a0730dab0e91590c9147,793840147117094178221,0,0,793840147117094178221
0xc1c7f7169b6c3022d172302a32d59c90a33230aa,1234862451071035388344,0,0,1234862451071035388344
0xe5fdedd718bdf40904d67658fa4b9629a7a8b515,2019868921439932124125,0,0,2019868921439932124125
0x4a491bc9abd9ae4f335a074a00c87da5d1f9cbd1,110255575988485302530,0,0,110255575988485302530
0x574319e245428c9f064006e49ad5f83947f763ec,793840147117094178,0,0,793840147117094178
